time,note,vol
0,43,74
58,43,0
64,50,95
122,50,0
128,59,100
186,59,0
192,57,79
250,57,0
256,59,88
314,59,0
320,50,62
378,50,0
384,59,95
442,59,0
448,50,66
506,50,0
512,43,68
570,43,0
576,50,92
634,50,0
640,59,98
698,59,0
704,57,77
762,57,0
768,59,87
826,59,0
832,50,64
890,50,0
896,59,94
954,59,0
960,50,67
1018,50,0
1024,43,65
1082,43,0
1088,52,94
1146,52,0
1152,60,96
1210,60,0
1216,59,80
1274,59,0
1280,60,87
1338,60,0
1344,52,66
1402,52,0
1408,60,93
1466,60,0
1472,52,64
1530,52,0
1536,43,62
1594,43,0
1600,52,91
1658,52,0
1664,60,97
1722,60,0
1728,59,79
1786,59,0
1792,60,86
1850,60,0
1856,52,66
1914,52,0
1920,60,95
1978,60,0
1984,52,67
2042,52,0
2048,43,61
2106,43,0
2112,54,96
2170,54,0
2176,60,95
2234,60,0
2240,59,76
2298,59,0
2304,60,86
2362,60,0
2368,54,69
2426,54,0
2432,60,89
2490,60,0
2496,54,71
2554,54,0
2560,43,60
2618,43,0
2624,54,96
2682,54,0
2688,60,94
2746,60,0
2752,59,76
2810,59,0
2816,60,88
2874,60,0
2880,54,70
2938,54,0
2944,60,91
3002,60,0
3008,54,68
3066,54,0
3072,43,62
3130,43,0
3136,55,97
3194,55,0
3200,59,90
3258,59,0
3264,57,75
3322,57,0
3328,59,87
3386,59,0
3392,55,72
3450,55,0
3456,59,89
3514,59,0
3520,55,70
3578,55,0
3584,43,61
3642,43,0
3648,55,98
3706,55,0
3712,59,90
3770,59,0
3776,57,78
3834,57,0
3840,59,89
3898,59,0
3904,55,70
3962,55,0
3968,59,85
4026,59,0
4032,54,71
4090,54,0
4096,43,63
4154,43,0
4160,52,93
4218,52,0
4224,59,96
4282,59,0
4288,57,80
4346,57,0
4352,59,89
4410,59,0
4416,55,71
4474,55,0
4480,54,75
4538,54,0
4544,55,82
4602,55,0
4608,52,76
4666,52,0
4672,55,87
4730,55,0
4736,54,75
4794,54,0
4800,55,83
4858,55,0
4864,47,67
4922,47,0
4928,50,85
4986,50,0
4992,49,77
5050,49,0
5056,47,74
5114,47,0
5120,49,86
5178,49,0
5184,55,95
5242,55,0
5248,57,86
5306,57,0
5312,55,77
5370,55,0
5376,57,88
5434,57,0
5440,55,75
5498,55,0
5504,57,84
5562,57,0
5568,55,76
5626,55,0
5632,49,69
5690,49,0
5696,55,89
5754,55,0
5760,57,85
5818,57,0
5824,55,77
5882,55,0
5888,57,86
5946,57,0
5952,55,75
6010,55,0
6016,57,84
6074,57,0
6080,55,75
6138,55,0
6144,54,80
6202,54,0
6208,57,84
6266,57,0
6272,62,89
6330,62,0
6336,61,77
6394,61,0
6400,62,85
6458,62,0
6464,57,69
6522,57,0
6528,55,73
6586,55,0
6592,57,84
6650,57,0
6656,54,74
6714,54,0
6720,57,85
6778,57,0
6784,55,76
6842,55,0
6848,57,86
6906,57,0
6912,50,71
6970,50,0
6976,54,87
7034,54,0
7040,52,76
7098,52,0
7104,50,74
7162,50,0
7168,40,62
7226,40,0
7232,47,92
7290,47,0
7296,55,97
7354,55,0
7360,54,78
7418,54,0
7424,55,87
7482,55,0
7488,47,66
7546,47,0
7552,55,95
7610,55,0
7616,47,65
7674,47,0
7680,40,64
7738,40,0
7744,47,90
7802,47,0
7808,55,97
7866,55,0
7872,54,80
7930,54,0
7936,55,87
7994,55,0
8000,47,66
8058,47,0
8064,55,91
8122,55,0
8128,47,66
8186,47,0
8192,40,64
8250,40,0
8256,49,93
8314,49,0
8320,50,84
8378,50,0
8384,52,84
8442,52,0
8448,50,77
8506,50,0
8512,49,74
8570,49,0
8576,47,76
8634,47,0
8640,45,73
8698,45,0
8704,55,102
8762,55,0
8768,54,78
8826,54,0
8832,52,73
8890,52,0
8896,62,96
8954,62,0
8960,61,81
9018,61,0
9024,59,75
9082,59,0
9088,57,74
9146,57,0
9152,55,73
9210,55,0
9216,54,79
9274,54,0
9280,52,74
9338,52,0
9344,50,75
9402,50,0
9408,62,103
9466,62,0
9472,57,77
9530,57,0
9536,62,89
9594,62,0
9600,54,65
9658,54,0
9664,57,83
9722,57,0
9728,50,69
9786,50,0
9792,52,82
9850,52,0
9856,54,84
9914,54,0
9920,57,86
9978,57,0
9984,55,78
10042,55,0
10048,54,76
10106,54,0
10112,52,73
10170,52,0
10176,50,73
10234,50,0
10240,56,93
10298,56,0
10304,50,70
10362,50,0
10368,53,85
10426,53,0
10432,50,74
10490,50,0
10496,53,88
10554,53,0
10560,50,72
10618,50,0
10624,56,93
10682,56,0
10688,50,68
10746,50,0
10752,59,97
10810,59,0
10816,50,67
10874,50,0
10880,53,82
10938,53,0
10944,50,71
11002,50,0
11008,53,88
11066,53,0
11072,50,72
11130,50,0
11136,56,90
11194,56,0
11200,50,69
11258,50,0
11264,48,74
11322,48,0
11328,52,85
11386,52,0
11392,57,92
11450,57,0
11456,59,87
11514,59,0
11520,60,87
11578,60,0
11584,57,71
11642,57,0
11648,52,67
11706,52,0
11712,50,72
11770,50,0
11776,48,77
11834,48,0
11840,52,86
11898,52,0
11904,57,93
11962,57,0
11968,59,84
12026,59,0
12032,60,89
12090,60,0
12096,57,74
12154,57,0
12160,54,72
12218,54,0
12224,52,71
12282,52,0
12288,51,79
12346,51,0
12352,54,88
12410,54,0
12416,51,73
12474,51,0
12480,54,88
12538,54,0
12544,57,91
12602,57,0
12608,54,74
12666,54,0
12672,57,87
12730,57,0
12736,54,72
12794,54,0
12800,51,76
12858,51,0
12864,54,85
12922,54,0
12928,51,74
12986,51,0
12992,54,87
13050,54,0
13056,57,91
13114,57,0
13120,54,74
13178,54,0
13184,57,87
13242,57,0
13248,54,71
13306,54,0
13312,55,88
13370,55,0
13376,54,77
13434,54,0
13440,52,76
13498,52,0
13504,55,86
13562,55,0
13568,54,80
13626,54,0
13632,55,82
13690,55,0
13696,57,84
13754,57,0
13760,54,74
13818,54,0
13824,55,84
13882,55,0
13888,54,77
13946,54,0
13952,52,76
14010,52,0
14016,50,72
14074,50,0
14080,48,76
14138,48,0
14144,47,75
14202,47,0
14208,45,74
14266,45,0
14272,43,75
14330,43,0
14336,42,78
14394,42,0
14400,48,91
14458,48,0
14464,50,84
14522,50,0
14528,48,77
14586,48,0
14592,50,87
14650,50,0
14656,48,76
14714,48,0
14720,50,86
14778,50,0
14784,48,75
14842,48,0
14848,42,71
14906,42,0
14912,48,91
14970,48,0
14976,50,85
15034,50,0
15040,48,76
15098,48,0
15104,50,88
15162,50,0
15168,48,74
15226,48,0
15232,50,86
15290,50,0
15296,48,73
15354,48,0
15360,43,71
15418,43,0
15424,47,86
15482,47,0
15488,53,91
15546,53,0
15552,52,77
15610,52,0
15616,53,84
15674,53,0
15680,47,66
15738,47,0
15744,53,88
15802,53,0
15808,47,71
15866,47,0
15872,43,71
15930,43,0
15936,47,87
15994,47,0
16000,53,91
16058,53,0
16064,52,78
16122,52,0
16128,53,87
16186,53,0
16192,47,67
16250,47,0
16256,53,90
16314,53,0
16320,47,69
16378,47,0
16384,43,71
16442,43,0
16448,48,89
16506,48,0
16512,52,92
16570,52,0
16576,50,78
16634,50,0
16640,52,88
16698,52,0
16704,48,70
16762,48,0
16768,52,88
16826,52,0
16832,48,73
16890,48,0
16896,43,71
16954,43,0
16960,48,89
17018,48,0
17024,52,90
17082,52,0
17088,50,77
17146,50,0
17152,52,87
17210,52,0
17216,48,70
17274,48,0
17280,52,86
17338,52,0
17344,48,72
17402,48,0
17408,43,72
17466,43,0
17472,54,97
17530,54,0
17536,60,93
17594,60,0
17600,59,77
17658,59,0
17664,60,84
17722,60,0
17728,54,68
17786,54,0
17792,60,89
17850,60,0
17856,54,70
17914,54,0
17920,43,60
17978,43,0
17984,54,95
18042,54,0
18048,60,95
18106,60,0
18112,59,77
18170,59,0
18176,60,86
18234,60,0
18240,54,69
18298,54,0
18304,60,88
18362,60,0
18368,54,67
18426,54,0
18432,43,59
18490,43,0
18496,50,89
18554,50,0
18560,59,99
18618,59,0
18624,57,79
18682,57,0
18688,59,89
18746,59,0
18752,55,73
18810,55,0
18816,54,74
18874,54,0
18880,52,74
18938,52,0
18944,50,76
19002,50,0
19008,48,74
19066,48,0
19072,47,75
19130,47,0
19136,45,73
19194,45,0
19200,43,76
19258,43,0
19264,42,76
19322,42,0
19328,40,73
19386,40,0
19392,38,74
19450,38,0
19456,37,79
19514,37,0
19520,45,94
19578,45,0
19584,52,94
19642,52,0
19648,54,87
19706,54,0
19712,55,90
19770,55,0
19776,52,73
19834,52,0
19840,54,83
19898,54,0
19904,55,84
19962,55,0
19968,37,61
20026,37,0
20032,45,92
20090,45,0
20096,52,95
20154,52,0
20160,54,86
20218,54,0
20224,55,87
20282,55,0
20288,52,72
20346,52,0
20352,54,85
20410,54,0
20416,55,85
20474,55,0
20480,36,61
20538,36,0
20544,45,93
20602,45,0
20608,50,92
20666,50,0
20672,52,85
20730,52,0
20736,54,89
20794,54,0
20800,50,72
20858,50,0
20864,52,83
20922,52,0
20928,54,84
20986,54,0
20992,36,62
21050,36,0
21056,45,91
21114,45,0
21120,50,91
21178,50,0
21184,52,85
21242,52,0
21248,54,90
21306,54,0
21312,50,71
21370,50,0
21376,52,81
21434,52,0
21440,54,87
21498,54,0
21504,36,61
21562,36,0
21568,45,95
21626,45,0
21632,50,91
21690,50,0
21696,54,89
21754,54,0
21760,57,91
21818,57,0
21824,61,89
21882,61,0
21888,62,85
21972,62,0
22004,62,85
22074,62,0
,62,85
,62,0
22080,45,59
22138,45,0
22144,47,80
22202,47,0
22208,48,83
22266,48,0
22272,50,87
22330,50,0
22336,52,85
22394,52,0
22400,54,87
22458,54,0
22464,55,85
22522,55,0
22528,57,86
22586,57,0
22592,54,72
22650,54,0
22656,50,71
22714,50,0
22720,52,81
22778,52,0
22784,54,89
22842,54,0
22848,55,82
22906,55,0
22912,57,84
22970,57,0
22976,59,85
23034,59,0
23040,60,85
23098,60,0
23104,57,72
23162,57,0
23168,54,72
23226,54,0
23232,55,82
23290,55,0
23296,57,88
23354,57,0
23360,59,83
23418,59,0
23424,60,86
23482,60,0
23488,62,86
23546,62,0
23552,63,88
23610,63,0
23616,62,77
23674,62,0
23680,61,77
23738,61,0
23744,62,84
23802,62,0
23808,62,81
23866,62,0
23872,60,75
23930,60,0
23936,59,77
23994,59,0
24000,60,83
24058,60,0
24064,60,85
24122,60,0
24128,57,74
24186,57,0
24192,54,70
24250,54,0
24256,52,73
24314,52,0
24320,50,76
24378,50,0
24384,45,67
24442,45,0
24448,47,84
24506,47,0
24512,48,85
24570,48,0
24576,38,64
24634,38,0
24640,45,91
24698,45,0
24704,50,91
24762,50,0
24768,54,89
24826,54,0
24832,57,91
24890,57,0
24896,59,87
24954,59,0
24960,60,84
25018,60,0
25024,57,73
25082,57,0
25088,59,86
25146,59,0
25152,55,71
25210,55,0
25216,50,68
25274,50,0
25280,48,73
25338,48,0
25344,47,78
25402,47,0
25408,43,71
25466,43,0
25472,45,83
25530,45,0
25536,47,84
25594,47,0
25600,38,66
25658,38,0
25664,43,85
25722,43,0
25728,47,90
25786,47,0
25792,50,88
25850,50,0
25856,55,92
25914,55,0
25920,57,86
25978,57,0
25984,59,85
26042,59,0
26048,55,71
26106,55,0
26112,61,94
26170,61,0
26176,58,75
26234,58,0
26240,57,77
26298,57,0
26304,58,84
26362,58,0
26368,58,83
26426,58,0
26432,57,75
26490,57,0
26496,56,75
26554,56,0
26560,57,82
26618,57,0
26624,57,83
26682,57,0
26688,55,77
26746,55,0
26752,54,76
26810,54,0
26816,55,85
26874,55,0
26880,55,84
26938,55,0
26944,52,74
27002,52,0
27008,49,69
27066,49,0
27072,47,74
27130,47,0
27136,45,76
27194,45,0
27200,49,90
27258,49,0
27264,52,87
27322,52,0
27328,55,87
27386,55,0
27392,57,89
27450,57,0
27456,61,88
27514,61,0
27520,62,86
27578,62,0
27584,61,75
27642,61,0
27648,62,87
27706,62,0
27712,57,71
27770,57,0
27776,54,70
27834,54,0
27840,52,72
27898,52,0
27904,54,89
27962,54,0
27968,57,88
28026,57,0
28032,50,65
28090,50,0
28096,54,84
28154,54,0
28160,45,68
28218,45,0
28224,50,89
28282,50,0
28288,49,77
28346,49,0
28352,47,75
28410,47,0
28416,45,76
28474,45,0
28480,43,74
28538,43,0
28544,42,74
28602,42,0
28608,40,73
28666,40,0
28672,38,78
28788,38,0
,38,78
,38,0
28800,60,100
28858,60,0
28864,59,81
28922,59,0
28928,57,76
28986,57,0
28992,55,74
29050,55,0
29056,54,75
29114,54,0
29120,52,75
29178,52,0
29184,50,75
29242,50,0
29248,60,99
29306,60,0
29312,59,79
29370,59,0
29376,57,74
29434,57,0
29440,55,79
29498,55,0
29504,54,73
29562,54,0
29568,52,75
29626,52,0
29632,50,74
29690,50,0
29696,48,77
29754,48,0
29760,59,99
29818,59,0
29824,57,76
29882,57,0
29888,55,75
29946,55,0
29952,54,76
30010,54,0
30016,52,75
30074,52,0
30080,50,73
30138,50,0
30144,48,76
30202,48,0
30208,47,77
30266,47,0
30272,57,98
30330,57,0
30336,55,79
30394,55,0
30400,54,75
30458,54,0
30464,52,76
30522,52,0
30528,50,72
30586,50,0
30592,48,73
30650,48,0
30656,47,74
30714,47,0
30720,45,75
30778,45,0
30784,55,97
30842,55,0
30848,54,79
30906,54,0
30912,52,75
30970,52,0
30976,54,88
31034,54,0
31040,57,88
31098,57,0
31104,50,67
31162,50,0
31168,57,93
31226,57,0
31232,52,74
31290,52,0
31296,57,90
31354,57,0
31360,54,73
31418,54,0
31424,57,86
31482,57,0
31488,55,77
31546,55,0
31552,57,83
31610,57,0
31616,52,72
31674,52,0
31680,57,89
31738,57,0
31744,54,76
31802,54,0
31808,57,85
31866,57,0
31872,50,67
31930,50,0
31936,57,90
31994,57,0
32000,55,80
32058,55,0
32064,57,86
32122,57,0
32128,52,70
32186,52,0
32192,57,88
32250,57,0
32256,54,75
32314,54,0
32320,57,86
32378,57,0
32384,50,67
32442,50,0
32448,57,91
32506,57,0
32512,55,79
32570,55,0
32576,57,83
32634,57,0
32640,52,69
32698,52,0
32704,57,87
32762,57,0
32768,54,78
32826,54,0
32832,57,77
32890,57,0
32896,50,67
32954,50,0
32960,57,92
33018,57,0
33024,52,76
33082,52,0
33088,57,89
33146,57,0
33152,54,74
33210,54,0
33216,57,85
33274,57,0
33280,55,80
33338,55,0
33344,57,76
33402,57,0
33408,57,79
33466,57,0
33472,57,73
33530,57,0
33536,59,87
33594,59,0
33600,57,74
33658,57,0
33664,50,67
33722,50,0
33728,57,83
33786,57,0
33792,57,84
33850,57,0
33856,57,72
33914,57,0
33920,59,86
33978,59,0
33984,57,77
34042,57,0
34048,60,90
34106,60,0
34112,57,73
34170,57,0
34176,50,63
34234,50,0
34240,57,93
34298,57,0
34304,59,89
34362,59,0
34368,57,75
34426,57,0
34432,60,84
34490,60,0
34496,57,71
34554,57,0
34560,62,94
34618,62,0
34624,57,70
34682,57,0
34688,59,83
34746,59,0
34752,57,74
34810,57,0
34816,60,89
34874,60,0
34880,57,73
34938,57,0
34944,59,82
35002,59,0
35008,57,73
35066,57,0
35072,60,90
35130,60,0
35136,57,68
35194,57,0
35200,57,81
35258,57,0
35264,57,74
35322,57,0
35328,59,89
35386,59,0
35392,57,70
35450,57,0
35456,57,79
35514,57,0
35520,57,74
35578,57,0
35584,59,87
35642,59,0
35648,57,73
35706,57,0
35712,55,75
35770,55,0
35776,57,86
35834,57,0
35840,57,85
35898,57,0
35904,57,78
35962,57,0
35968,55,74
36026,55,0
36032,57,83
36090,57,0
36096,57,83
36154,57,0
36160,57,80
36218,57,0
36224,54,74
36282,54,0
36288,57,83
36346,57,0
36352,55,79
36410,55,0
36416,57,83
36474,57,0
36480,54,72
36538,54,0
36544,57,85
36602,57,0
36608,55,77
36666,55,0
36672,57,85
36730,57,0
36736,52,68
36794,52,0
36800,57,87
36858,57,0
36864,54,75
36922,54,0
36928,57,85
36986,57,0
36992,50,65
37050,50,0
37056,52,82
37114,52,0
37120,53,87
37178,53,0
37184,50,73
37242,50,0
37248,54,90
37306,54,0
37312,50,73
37370,50,0
37376,55,92
37434,55,0
37440,50,71
37498,50,0
37504,56,93
37562,56,0
37568,50,68
37626,50,0
37632,57,96
37690,57,0
37696,50,67
37754,50,0
37760,58,92
37818,58,0
37824,50,67
37882,50,0
37888,59,99
37946,59,0
37952,50,66
38010,50,0
38016,60,95
38074,60,0
38080,50,61
38138,50,0
38144,61,100
38202,61,0
38208,50,61
38266,50,0
38272,62,97
38330,62,0
38336,50,63
38394,50,0
38400,63,101
38458,63,0
38464,50,60
38522,50,0
38528,64,97
38586,64,0
38592,50,61
38650,50,0
38656,65,100
38714,65,0
38720,50,61
38778,50,0
38784,66,96
38842,66,0
38848,50,60
38906,50,0
38912,67,101
38970,67,0
38976,59,66
39034,59,0
39040,50,59
39098,50,0
39104,59,92
39162,59,0
39168,67,101
39226,67,0
39232,59,68
39290,59,0
39296,67,93
39354,67,0
39360,59,68
39418,59,0
39424,67,96
39482,67,0
39488,59,65
39546,59,0
39552,50,60
39610,50,0
39616,59,93
39674,59,0
39680,67,100
39738,67,0
39744,59,68
39802,59,0
39808,67,94
39866,67,0
39872,59,65
39930,59,0
39936,67,94
39994,67,0
40000,57,62
40058,57,0
40064,50,64
40122,50,0
40128,57,92
40186,57,0
40192,67,102
40250,67,0
40256,57,63
40314,57,0
40320,67,98
40378,67,0
40384,57,64
40442,57,0
40448,67,100
40506,67,0
40512,57,63
40570,57,0
40576,50,64
40634,50,0
40640,57,92
40698,57,0
40704,67,102
40762,67,0
40768,57,65
40826,57,0
40832,67,95
40890,67,0
40896,57,62
40954,57,0
40960,66,99
41018,66,0
41024,60,70
41082,60,0
41088,50,58
41146,50,0
41152,60,96
41210,60,0
41216,66,99
41274,66,0
41280,60,69
41338,60,0
41344,66,90
41402,66,0
41408,60,69
41466,60,0
41472,66,93
41530,66,0
41536,60,68
41594,60,0
41600,50,58
41658,50,0
41664,60,96
41722,60,0
41728,66,97
41786,66,0
41792,60,71
41850,60,0
41856,66,88
41914,66,0
41920,60,68
41978,60,0
41984,43,96
41984,59,96
41984,67,95
42958,43,0
42958,59,0
42958,67,0